name,type,pdb_id,pdb_chain,uniprot,resolution
Glycoprotein,viral,11LP,A,P08667,2.92
Nucleoprotein,viral,10ZO,B,A0A1Q1NMU1,1.65
ORF9b protein,viral,13VA,A,P0DTD2,1.70
REGULATORY PROTEIN E2,viral,1A7G,E,P17383,2.40
TOPOISOMERASE I,viral,1A41,A,P68698,2.30
HIV-1 PROTEASE,viral,1A30,A,P04585,2.00
VP39,viral,1BKY,A,P07617,2.00
BOVINE ENTEROVIRUS COAT PROTEINS VP1 TO VP4,viral,1BEV,4,P12915,3.00
PROTEASE,viral,1BAI,A,P03322,2.40
PROTEIN (NEURAMINIDASE),viral,1B9V,A,P03474,2.35
PROTEIN (NUCLEAR PROTEIN EBNA1),viral,1B3T,A,P03211,2.20
"PROTEIN (CRICKET PARALYSIS VIRUS, VP4)",viral,1B35,D,P13418,2.40
HUMAN RHINOVIRUS 16 COAT PROTEIN,viral,1AYN,4,P23008,2.90
ADENOVIRAL PROTEINASE,viral,1AVP,A,P03252,2.60
P1/MAHONEY POLIOVIRUS,viral,1ASJ,4,P03300,2.90
INFLUENZA VIRUS MATRIX PROTEIN,viral,1AA7,A,P03485,2.08
PROTEIN (COXSACKIEVIRUS A9),viral,1D4M,4,P21404,2.90
PROTEIN (REVERSE TRANSCRIPTASE),viral,1D1U,A,P03355,2.30
TYPE 2 RHINOVIRUS 3C PROTEASE,viral,1CQQ,A,P04936,1.85
VIRAL CHEMOKINE INHIBITOR,viral,1CQ3,A,Q85307,1.85
PROTEIN (VIRAL MACROPHAGE INFLAMMATORY PROTEIN-II),viral,1CM9,A,Q98157,2.10
ICE INHIBITOR,viral,1C8O,A,P07385,2.90
PROTEIN (INTEGRASE),viral,1C0M,A,P03354,2.53
REGULATORY PROTEIN E2,viral,1BY9,A,P03120,2.20
BLUETONGUE VIRUS COAT PROTEIN VP7,viral,1BVP,1,P69361,2.60
CYCLIN HOMOLOG,viral,1BU2,A,Q01043,3.00
PROTEASE,viral,1FL1,A,Q2HRB6,2.20
MATURE CAPSID PROTEIN BETA,viral,1F8V,A,Q9J7Z0,3.00
GAMMA HERPESVIRUS CYCLIN,viral,1F5Q,B,P89883,2.50
POLIOVIRUS TYPE 2 COAT PROTEINS VP1 TO VP4,viral,1EAH,4,P06210,2.90
THYMIDINE KINASE,viral,1E2P,A,P0DTH5,2.50
HUMAN RHINOVIRUS 14 COAT PROTEIN (SUBUNIT VP4),viral,1HRV,4,P03303,3.00
HEPATITIS A VIRUS 3C PROTEINASE,viral,1HAV,B,P08617,2.00
MATRIX PROTEIN VP40,viral,1H2D,A,Q05128,2.60
gp42 Protein,viral,1KG0,C,P03205,2.65
PROTEIN (FIBER KNOB PROTEIN),viral,1KAC,A,P36711,2.60
HERPESVIRUS ENTRY MEDIATOR,viral,1JMA,B,Q92956,2.65
FUSION PROTEIN E1,viral,1I9W,A,P03315,3.00
Early 35 kDa protein,viral,1I4E,A,P08160,3.00
SINDBIS VIRUS CAPSID PROTEIN,viral,1KXF,A,P03316,2.38
Adsorption protein P2,viral,1N7V,A,P27378,2.20
Large T Antigen,viral,1N25,A,P03070,2.80
MOLONEY MURINE LEUKEMIA VIRUS P15,viral,1MOF,A,P03385,1.70
Core protein p15,viral,1MN8,A,P03332,1.00
M3 Protein,viral,1ML0,A,O41925,2.80
Rep protein,viral,1M55,A,Q9YJC1,1.40
Protein K3,viral,1LUZ,A,P18378,1.80
URACIL-DNA GLYCOSYLASE INHIBITOR,viral,1LQG,C,P14739,2.90
AAV-2 capsid protein,viral,1LP3,A,P03135,3.00
"POLIOVIRUS TYPE 3, SABIN STRAIN",viral,1PVC,4,P03302,2.40
CAPSID PROTEIN P40,viral,1O6E,A,P03234,2.30
HUMAN RHINOVIRUS 3 COAT PROTEIN,viral,1RHI,4,Q82081,3.00
Replication protein E1,viral,1R9W,A,P06789,1.80
HPV11 REGULATORY PROTEIN E2,viral,1R6N,A,P04015,2.40
ADENOVIRUS FIBRE,viral,1QIU,A,P03275,2.40
PROTEIN (FUSION GLYCOPROTEIN),viral,1SVF,A,P04849,1.40
34L protein,viral,1SFU,A,Q9DHS8,2.00
FIBER PROTEIN,viral,1UXE,A,Q64823,2.00
FIBER PROTEIN,viral,1UXB,A,Q64822,1.75
Nonstructural protein NS1,viral,1XEQ,A,P03502,2.10
Virion membrane protein,viral,1YPY,A,P07612,1.51
polynucleotide 5'-phosphatase,viral,1YN9,A,P24656,1.50
Viral interleukin-10 homolog,viral,1Y6N,L,P03180,2.70
Genome polyprotein,viral,1XR6,A,P12916,2.50
SARS ORF7A ACCESSORY PROTEIN,viral,1XAK,A,P59635,1.80
SINDBIS VIRUS CAPSID PROTEIN,viral,1WYK,A,P27285,2.00
VARICELLA-ZOSTER VIRUS PROTEASE,viral,1VZV,A,P09286,3.00
